 ObserverTime   Thickness    Loading      Total     Observer
 0.34913E-02      0.0969     -0.5952     -0.4983        1
 0.35122E-02      0.0969     -0.5834     -0.4865        1
 0.35331E-02      0.0969     -0.5737     -0.4768        1
 0.35540E-02      0.0969     -0.5644     -0.4675        1
 0.35749E-02      0.0969     -0.5573     -0.4604        1
 0.35958E-02      0.0969     -0.5519     -0.4550        1
 0.36167E-02      0.0968     -0.5493     -0.4525        1
 0.36376E-02      0.0968     -0.5494     -0.4526        1
 0.36586E-02      0.0967     -0.5525     -0.4558        1
 0.36795E-02      0.0967     -0.5544     -0.4578        1
 0.37004E-02      0.0966     -0.5572     -0.4607        1
 0.37213E-02      0.0965     -0.5602     -0.4637        1
 0.37422E-02      0.0964     -0.5626     -0.4662        1
 0.37631E-02      0.0963     -0.5639     -0.4676        1
 0.37840E-02      0.0961     -0.5631     -0.4669        1
 0.38049E-02      0.0960     -0.5595     -0.4635        1
 0.38258E-02      0.0958     -0.5564     -0.4605        1
 0.38467E-02      0.0957     -0.5554     -0.4597        1
 0.38676E-02      0.0955     -0.5525     -0.4570        1
 0.38885E-02      0.0953     -0.5513     -0.4561        1
 0.39094E-02      0.0951     -0.5515     -0.4564        1
 0.39303E-02      0.0948     -0.5532     -0.4583        1
 0.39512E-02      0.0946     -0.5561     -0.4615        1
 0.39721E-02      0.0943     -0.5595     -0.4652        1
 0.39931E-02      0.0940     -0.5590     -0.4650        1
 0.40140E-02      0.0937     -0.5552     -0.4615        1
 0.40349E-02      0.0933     -0.5466     -0.4533        1
 0.40558E-02      0.0930     -0.5347     -0.4417        1
 0.40767E-02      0.0926     -0.5233     -0.4307        1
 0.40976E-02      0.0922     -0.5147     -0.4225        1
 0.41185E-02      0.0918     -0.5084     -0.4167        1
 0.41394E-02      0.0913     -0.5055     -0.4142        1
 0.41603E-02      0.0908     -0.5074     -0.4166        1
 0.41812E-02      0.0903     -0.5141     -0.4238        1
 0.42021E-02      0.0897     -0.5249     -0.4352        1
 0.42230E-02      0.0891     -0.5375     -0.4484        1
 0.42439E-02      0.0885     -0.5471     -0.4585        1
 0.42648E-02      0.0879     -0.5547     -0.4668        1
 0.42857E-02      0.0872     -0.5587     -0.4716        1
 0.43066E-02      0.0864     -0.5575     -0.4710        1
 0.43275E-02      0.0857     -0.5536     -0.4679        1
 0.43484E-02      0.0848     -0.5495     -0.4647        1
 0.43694E-02      0.0840     -0.5453     -0.4614        1
 0.43903E-02      0.0831     -0.5435     -0.4605        1
 0.44112E-02      0.0821     -0.5413     -0.4592        1
 0.44321E-02      0.0811     -0.5402     -0.4591        1
 0.44530E-02      0.0800     -0.5387     -0.4587        1
 0.44739E-02      0.0789     -0.5384     -0.4595        1
 0.44948E-02      0.0777     -0.5384     -0.4607        1
 0.45157E-02      0.0765     -0.5348     -0.4583        1
 0.45366E-02      0.0752     -0.5248     -0.4495        1
 0.45575E-02      0.0739     -0.5072     -0.4334        1
 0.45784E-02      0.0724     -0.4866     -0.4141        1
 0.45993E-02      0.0709     -0.4691     -0.3981        1
 0.46202E-02      0.0694     -0.4584     -0.3890        1
 0.46411E-02      0.0678     -0.4493     -0.3815        1
 0.46620E-02      0.0660     -0.4399     -0.3739        1
 0.46829E-02      0.0642     -0.4376     -0.3733        1
 0.47039E-02      0.0624     -0.4430     -0.3806        1
 0.47247E-02      0.0604     -0.4588     -0.3984        1
 0.47457E-02      0.0584     -0.4765     -0.4181        1
 0.47666E-02      0.0562     -0.4965     -0.4403        1
 0.47875E-02      0.0540     -0.5072     -0.4532        1
 0.48084E-02      0.0517     -0.5120     -0.4604        1
 0.48293E-02      0.0492     -0.5061     -0.4569        1
 0.48502E-02      0.0467     -0.5022     -0.4555        1
 0.48711E-02      0.0440     -0.4848     -0.4408        1
 0.48920E-02      0.0413     -0.4610     -0.4197        1
 0.49129E-02      0.0384     -0.4440     -0.4055        1
 0.49338E-02      0.0355     -0.4373     -0.4019        1
 0.49547E-02      0.0324     -0.4268     -0.3944        1
 0.49756E-02      0.0292     -0.3939     -0.3647        1
 0.49965E-02      0.0258     -0.3398     -0.3140        1
 0.50174E-02      0.0223     -0.2761     -0.2537        1
 0.50383E-02      0.0188     -0.1982     -0.1794        1
 0.50593E-02      0.0150     -0.0829     -0.0679        1
 0.50802E-02      0.0112      0.0571      0.0683        1
 0.51011E-02      0.0072      0.1946      0.2018        1
 0.51220E-02      0.0031      0.3303      0.3334        1
 0.51429E-02     -0.0012      0.4644      0.4632        1
 0.51638E-02     -0.0056      0.5776      0.5721        1
 0.51847E-02     -0.0101      0.6629      0.6528        1
 0.52056E-02     -0.0149      0.7194      0.7045        1
 0.52265E-02     -0.0197      0.7703      0.7506        1
 0.52474E-02     -0.0246      0.8247      0.8001        1
 0.52683E-02     -0.0298      0.8866      0.8568        1
 0.52892E-02     -0.0350      0.9465      0.9115        1
 0.53101E-02     -0.0404      1.0049      0.9645        1
 0.53310E-02     -0.0459      1.0948      1.0490        1
 0.53519E-02     -0.0516      1.1765      1.1249        1
 0.53728E-02     -0.0574      1.2094      1.1520        1
 0.53938E-02     -0.0632      1.1952      1.1320        1
 0.54146E-02     -0.0693      1.1968      1.1276        1
 0.54356E-02     -0.0754      1.1274      1.0520        1
 0.54565E-02     -0.0816      0.9296      0.8480        1
 0.54774E-02     -0.0880      0.5674      0.4794        1
 0.54983E-02     -0.0943      0.1202      0.0259        1
 0.55192E-02     -0.1009     -0.4353     -0.5361        1
 0.55401E-02     -0.1074     -1.1554     -1.2628        1
 0.55610E-02     -0.1140     -2.3959     -2.5099        1
 0.55819E-02     -0.1206     -3.9886     -4.1092        1
 0.56028E-02     -0.1272     -5.5410     -5.6682        1
 0.56237E-02     -0.1339     -6.9675     -7.1014        1
 0.56446E-02     -0.1405     -7.7606     -7.9011        1
 0.56655E-02     -0.1470     -8.2218     -8.3688        1
 0.56864E-02     -0.1536     -8.3132     -8.4668        1
